PlayCode,shortTitlenoArticle,shortTitle,Genre,Author,AuthorTitlePage,GeneralTitlePageAuthor,InternalTitlePageAuthor,TitlePageTitle,GeneralTitlePageTitle,InternalTitlePageTitle,Printer,Publisher,Bookseller,TitlePageImprint,GeneralTitlePageImprint,InternalTitlePageImprint,TitlePagePublicationStatement,GeneralTitlePagePublicationStatement,InternalTitlePagePublicationStatement,PubPlace,UncertainPrintingDate,TitlePagePrintingDate,UncertainPerformDate,performDate,performDateQualified,CompanyFirstProduction,TitlePageCompany,Adult/Boy,TitlePageTheater,TitlePagePerformanceStatement,GeneralTitlePagePerformanceStatement,InternalTitlePagePerformanceStatement,Format,CollectionItem,CollectionDetails,paratextualMaterials,STC/Wing,ESTCNo,ESTCNo-URL,WigginsNo,DEEPNo,DEEPNo-URL,GregNo,ReelNo,TCPID,HoldingRepository,HoldingRepository-URL,Facsimiles,Other Editions,Folger Record URL,Hamnet Bib Id,SHC,printingDate,TCPTranscriptionStatus
LovCure,"Love's Cure, or The Martial Maid","Love's Cure, or The Martial Maid",Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,,FRANCIS BEAVMONT AND IOHN FLETCHER Gentlemen.,,,COMEDIES AND TRAGEDIES,"[half-title: 5Q3r] LOVES CURE OR, The Martial Maid",,Humphrey Robinson (Uncertain: No)| Humphrey Moseley (Uncertain: No)|,,,"LONDON, Printed for Humphrey Robinson, at the three Pidgeons, and for Humphrey Moseley at the Princes Armes in St Pauls Church-yard. 1647.",,,"Never printed before, And now published by the Authours Originall Copies.",,London,No,1647,Yes,1606,[c.1606],King's Men,,Adult Company,,,,,folio,Yes,"Published as part of Comedies and Tragedies written by Francis Beaumont and John Fletcher, containing: The Masque of the Inner Temple and Gray's Inn; The Mad Lover; The Spanish Curate; The Little French Lawyer; The Custom of the Country; The Noble Gentleman; The Captain; Beggars' Bush; The Coxcomb; The False One; The Chances; The Loyal Subject; The Laws of Candy; The Wandering Lovers (The Lovers' Progress) (Cleander); The Island Princess; The Humorous Lieutenant (Generous Enemies, Demetrius and Enanthe) (The Noble Enemy); The Nice Valor, or The Passionate Madman; The Maid in the Mill; The Prophetess; Bonduca; The Sea Voyage; The Double Marriage; The Pilgrim; The Knight of Malta; The Woman's Prize, or The Tamer Tamed; Love's Cure, or The Martial Maid; The Honest Man's Fortune; The Queen of Corinth; Women Pleased; A Wife for a Month; Wit at Several Weapons; Valentinian; The Fair Maid of the Inn; Love's Pilgrimage; Four Plays, or Moral Representations, in One.","DEDICATION: ""The Epistle Dedicatorie"" to: Philip Herbert, 1st Earl of Montgomery and 4th Earl of Pembroke; from: John Lowin; Joseph Taylor; Richard Robinson; Robert Benfield; Eyllaerdt Swanston; Thomas Pollard; Hugh Clark; William Allen; Stephen Hammerton; and Theophilus Bird (actors) [A2r] COMMENDATORY VERSES: 37: ""To the Stationer"" signed ""Grandison""; by ""H. Howard""; ""Henry Mody""; ""Thomas Peyton""; ""Aston Cokaine""; ""Jo. Pettus""; ""Robert Stapylton""; ""George Lisle""; ""I. Denham""; ""Edw. Waller""; ""Rich. Lovelace""; ""Wil. Habington""; ""Ia. Howell""; ""Tho. Stanley""; ""Roger L'Estrange""; ""Robert Gardiner""; ""John Web""; ""George Buck""; ""Joh. Earle""; ""I. M.""; ""Jasper Maine""; ""William Cartwright"" (2); ""Rich. Corbet""; ""Ben. Johnson""; ""Rob. Herrick""; ""I. Berhenhead""; ""Edw. Powell""; ""G. Hills""; ""Jos. Howe""; ""T. Palmer""; ""Alex. Brome""; ""John Harris""; ""Henry Harington""; ""Ric. Brome""; ""Ja. Shirley"" [a1r]; ""The Stationer"" signed ""H. Moseley"" [g2r] TO THE READER: ""To the Reader"" signed ""Ja. Shirley"" [A3r]; ""The Stationer to the Readers"" signed ""Humphrey Moseley"" [A4r]; ""Postcript"" [sic] [g2r] OTHER PARATEXTS: ""A Catalogue of all the Comedies and Tragedies Contained in this Booke"" [g2v]",Wing B1581,R22900,http://estc.bl.uk/R22900,,5143.25,http://deep.sas.upenn.edu/5143.25,661a,Wing / 306:1a,A27177,Harvard,http://id.lib.harvard.edu/aleph/002276197/catalog,Penn State PR2420 1647 Q. (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=146660,146660,160-A27177_25,1647,Phase 2
MrDO,Monsieur D'Olive,Monsieur D'Olive,Comedies,George Chapman (Uncertain: No)|,George Chapman.,,,"MONSIEVR D'OLIVE. A Comedie,",,,Thomas Creede (Uncertain: No)|,William Holme 3 (Uncertain: No)|,,"LONDON Printed by T. C. for William Holmes, and are to be sold at his Shop in Saint Dun-Stons Church-yard in Fleete streete, 1606.",,,,,,London,No,1606,No,1605,1605,Children of the Queen's Revels,Children of the Queen's Revels,Boy Company,Blackfriars,as it vvas sundrie times acted by her Maiesties children at the Blacke-Friers.,,,quarto,No,,"CHARACTER LIST: ""Actors"" [H4r]",STC 4983,S107709,http://estc.bl.uk/S107709,1468,446,http://deep.sas.upenn.edu/446,"236a(*1, †2)",STC / 1342:12,A69093,Illinois Urbana-Champaign,http://vufind.carli.illinois.edu/vf-uiu/Record/uiu_3291853,Boston Public Library G.3967.44 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=162394,162394,160-A69093,1606,Phase 1
Weathercock,Woman is a Weathercock,A Woman is a Weathercock,Comedies,Nathan Field (Uncertain: No)|,NAT: FIELD.,,,"A VVoman is a VVeather-cocke. A New Comedy,",,,William Jaggard (Uncertain: No)|,John Budge (Uncertain: No)|,,"Printed at London, for Iohn Budge, and are to be sold at the gteat South doore of Panles, and at Brittaines Bursse. 1612.",,,,,,London,No,1612,Yes,1609,[1609–1610],Children of the Queen's Revels,Children of the Queen's Revels,Boy Company,Whitehall (palace)|Whitefriars,"As it was acted before the King in WHITE-HALL. And diuers times Priuately at the White-Friers, By the Children of her Maiesties Reuels.",,,quarto,No,,"DEDICATION: Epistle to: ""any VVoman that hath beene no VVeather-Cocke""; from: Nathan Field [A3r] COMMENDATORY VERSES: 1: by ""George Chapman"" [A4r] TO THE READER: ""To the Reader"" signed ""N. F."" (Nathan Field) [A3v] CHARACTER LIST: ""Dramatis personæ"" [A2r]",STC 10854,S102043,http://estc.bl.uk/S102043,1599,575,http://deep.sas.upenn.edu/575,299a,STC / 795:05,A00725,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=001229894,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=159175,159175,161-A00725,1612,Phase 1
NW,"Night Walker, or The Little Thief","The Night Walker, or The Little Thief",Comedies,John Fletcher (Uncertain: No)| James Shirley (Uncertain: No)|,Iohn Fletcher. Gent.,,,"THE NIGHT-VVALKER, OR THE LITTLE THEIFE. A COMEDY,",,,Thomas Cotes (Uncertain: No)|,William Cooke (Uncertain: No)| Andrew Crooke 1 (Uncertain: No)|,,"LONDON, Printed by Tho. Cotes, for Andrew Crooke, and William Cooke. 1640.",,,,,,London,No,1640,Yes,1611,[c.1611?],Lady Elizabeth's Men,Queen Henrietta Maria's Men,Adult Company,Drury Lane,"As it vvas presented by her Majesties Servants, at the Private House in Drury Lane.",,,quarto,No,,"DEDICATION: Epistle to: William Hudson (Esquire; presumably of Gray's Inn); from: Andrew Crooke [A2r] CHARACTER LIST: ""The Actors Names"" [A2v]",STC 11072,S102369,http://estc.bl.uk/S102369,1772,947,http://deep.sas.upenn.edu/947,574a,STC / 836:09,A00966,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=001253025,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=159330,159330,161-A00966,1640,Phase 1
ThiTheo,Thierry and Theodoret,Thierry and Theodoret,Tragedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,,,,"THE TRAGEDY OF THIERRY KING OF France, and his Brother Theodoret.",,,Nicholas Okes (Uncertain: No)|,Thomas Walkley (Uncertain: No)|,,"LONDON, Printed for Thomas Walkley, and are to bee sold at his shop in Britaines Burse, at the signe of the Eagle and Child. 1621.",,,,,,London,No,1621,Yes,1617,[1613–1621],King's Men,King's Men,Adult Company,Blackfriars,As it vvas diuerse times acted at the Blacke-Friers by the Kings Maiesties Seruants.,,,quarto,No,,,STC 11074,S102375,http://estc.bl.uk/S102375,,691,http://deep.sas.upenn.edu/691,368a,STC / 836:11,A00968,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=000241473,Boston Public Library G.3966.21 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=159335,159335,161-A00968,1621,Phase 1
1IA,"Iron Age, 1","The Iron Age, 1",Classical legend,Thomas Heywood (Uncertain: No)|,THOMAS HEYVVOOD.,,,"The Iron Age: Contayning the Rape of Hellen: The siege of Troy: The Combate betwixt Hector and Aiax: Hector and Troilus slayne by Achilles: Achilles slaine by Paris: Aiax and Vlisses contend for the Armour of Achilles: The Death of Aiax, &c.",,,Nicholas Okes (Uncertain: No)|,,,"Printed at London by Nicholas Okes, 1632.",,,,,,London,No,1632,Yes,1612,[1612–1613],Queen Anne's Men,,Adult Company,,,,,quarto,No,,"DEDICATION: ""The Epistle Dedicatory"" to: Thomas Hammond (of Gray's Inn); from: Thomas Heywood [A3r] TO THE READER: ""To the Reader"" signed ""Thomas Heywood"" [A4r] CHARACTER LIST: ""Drammatis Personæ"" [A2v]",STC 13340,S104049,http://estc.bl.uk/S104049,1704,797,http://deep.sas.upenn.edu/797,467a(i),STC / 1575:02,A03223,Huntington,http://catalog.huntington.org/record=b1497512,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160262,160262,161-A03223_01,1632,Phase 1
2IA,"Iron Age, 2","The Iron Age, 2",Classical legend,Thomas Heywood (Uncertain: No)|,THOMAS HEYVVOOD.,,,"THE Second Part of the Iron Age: Which contayneth the death of Penthesilea, Paris, Priam, and Hecuba: The burning of Troy: The deaths of Agamemnon, Menelaus, Clitemnestra, Hellena, Orestes, Egistus, Pillades, King Diomed, Pyrhus, Cethus, Synon, Thersites, &c.",,,Nicholas Okes (Uncertain: No)|,,,"Printed at London by Nicholas Okes, 1632.",,,,,,London,No,1632,Yes,1612,[1612–1613],Queen Anne's Men,,Adult Company,,,,,quarto,No,,"DEDICATION: ""The Epistle Dedicatory"" to: Thomas Mainwaring (son of Matthew Mainwaring, author); from: Thomas Heywood [A3r] TO THE READER: ""To the Reader"" signed ""Thomas Heywood"" [A4r] CHARACTER LIST: ""Drammatis personæ. New persons not presented in the former part of this History"" [A2v] EXPLICIT: Here ends the whole History of the destruction of Troy. FINIS. [K4v]",STC 13340,S104049,http://estc.bl.uk/S104049,1709,799,http://deep.sas.upenn.edu/799,468a,STC / 1575:02,A03223,Huntington,http://catalog.huntington.org/record=b1497512,Boston Public Library G.3972.25 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160262,160262,161-A03223_02,1632,Phase 1
BF,Bartholomew Fair,Bartholomew Fair,Comedies,Ben Jonson (Uncertain: No)|,,,Beniamin Iohnson,,[No general title page],[A2r] BARTHOLOMEVV FAYRE: A COMEDIE,John Beale (Uncertain: No)|,Robert Allott (Uncertain: No)|,,,,"LONDON, Printed by I. B. for ROBERT ALLOT, and are to be sold at the signe of the Beare, in Pauls Church-yard. 1631.",,,,London,No,1631,No,1614,1614,Lady Elizabeth's Men,Lady Elizabeth's Men,Adult Company,,,,"ACTED IN THE YEARE, 1614. By the Lady ELIZABETHS SERVANTS.",folio,Yes,"Published as part of The Works of Benjamin Jonson, the second volume, containing: Bartholomew Fair; The Staple of News; The Devil Is an Ass.","CHARACTER LIST: ""The Persons of the Play"" [A3v]",STC 14753.5,S4350,http://estc.bl.uk/S4350,1757,5097.01,http://deep.sas.upenn.edu/5097.01,455a(*),STC / 1819:12,A04633,Harvard,http://id.lib.harvard.edu/aleph/005855916/catalog,,,,,161-A04633_01,1631,Phase 1
Staple,"Staple of News, The",The Staple of News,Comedies,Ben Jonson (Uncertain: No)|,,,BEN: IONSON,,[No general title page],[2A1r] THE STAPLE OF NEVVES. A COMEDIE,John Beale (Uncertain: No)|,Robert Allott (Uncertain: No)|,,,,"LONDON, Printed by I. B. for ROBERT ALLOT, and are to be sold at the signe of the Beare, in Pauls Church-yard. 1631.",,,,London,No,1631,No,1626,1626,King's Men,King's Men,Adult Company,,,,"ACTED IN THE YEARE, 1625. BY HIS MAIESTIES SERVANTS.",folio,Yes,"Published as part of The Works of Benjamin Jonson, the second volume, containing: Bartholomew Fair; The Staple of News; The Devil Is an Ass.","TO THE READER: ""To the Readers"" [2E2v] CHARACTER LIST: ""The Persons of the Play"" [2A1v]",STC 14753.5,S4350,http://estc.bl.uk/S4350,,5097.04,http://deep.sas.upenn.edu/5097.04,456a,STC / 1819:12,A04633,Harvard,http://id.lib.harvard.edu/aleph/008683311/catalog,,,,,161-A04633_03,1631,Phase 1
AKNK,"King and No King, A",A King and No King,Tragicomedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,"Francis Beamount, and Iohn Flecher.",,,A King and no King.,,,John Beale (Uncertain: No)|,Thomas Walkley (Uncertain: No)|,,"AT LONDON Printed for Thomas Walkley, and are to bee sold at his shoppe at the Eagle and Childe in Brittans-Bursse. 1619.",,,,,,London,No,1619,No,1611,1611,King's Men,King's Men,Adult Company,Globe,"Acted at the Globe, by his Maiesties Seruants.",,,quarto,No,,"DEDICATION: Epistle to: Henry Neville, Knight (d. 1629); from: Thomas Walkley [A2r]",STC 1670,S101159,http://estc.bl.uk/S101159,1636,670,http://deep.sas.upenn.edu/670,360a,STC / 982:11,A06207,Victoria and Albert,,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=158722,158722,161-A06207,1619,Phase 1
MaidsT,Maid's Tragedy,The Maid's Tragedy,Tragedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,,,,The Maides Tragedy.,,,Nicholas Okes (Uncertain: No)|,Richard Higgenbotham 2 (Uncertain: No)|,,LONDON Printed for Richard Higgenbotham and are to be sold at the Angell in PAVLS Church-yard. 1619.,,,,,,London,No,1619,Yes,1610,[c.1610–1611],King's Men,King's Men,Adult Company,Blackfriars,AS IT HATH BEENE diuers times Acted at the Blacke-friers by the KINGS Maiesties Seruants.,,,quarto,No,,"CHARACTER LIST: ""Speakers"" [A2v]",STC 1677,S101186,http://estc.bl.uk/S101186,1650,660,http://deep.sas.upenn.edu/660,357a(*),STC / 1437:07,A06289,Huntington,http://catalog.huntington.org/record=b1496095,Boston Public Library G.3967.3 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166166,166166,161-A06289,1619,Phase 1
SL,Scornful Lady,The Scornful Lady,Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,"FRA. BEAVMONT and IO. FLETCHER, Gent.",,,THE SCORNFVL LADIE. A Comedie.,,,John Beale (Uncertain: No)|,Miles Partrich (Uncertain: No)|,,"LONDON Printed for Myles Partrich, and are to be sold at his Shop at the George neere St. Dunstons Church in Fleet-streete. 1616.",,,,,,London,No,1616,Yes,1610,[1610–1616],Children of the Queen's Revels,Children of the Queen's Revels,Boy Company,Blackfriars,As it was Acted (with great applause) by the Children of Her Maiesties Reuels in the BLACKE FRYERS.,,,quarto,No,,,STC 1686,S101204,http://estc.bl.uk/S101204,1626,633,http://deep.sas.upenn.edu/633,334a,STC / 1437:09,A06389,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=000241454,Boston Public Library G.3967.9 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=158753,158753,161-A06389,1616,Phase 1
Turk,Turk (Muleasses the Turk),The Turk (Muleasses the Turk),Tragedies,John Mason (Uncertain: No)|,Iohn Mason Maister of Artes.,,,THE TVRKE. A Worthie TRAGEDIE.,,,Edward Allde (Uncertain: No)|,John Busby 2 (Uncertain: No)|,,LONDON. Printed by E. A. for Iohn Busbie and are to be sold at his shop inS. Dunstons Church-yard in Fleete-streete. 1610.,,,,,,London,No,1610,Yes,1607,[1607–1608],Children of the King's Revels,Children of the King's Revels,Boy Company,,As it hath bene diuers times acted by the Children of his Maiesties Reuels.,,,quarto,No,,"CHARACTER LIST: ""Scænarum Personæ"" [A1v] OTHER PARATEXTS: Note about printing the epilogue among the preliminaries of the book [A2v]",STC 17617,S112425,http://estc.bl.uk/S112425,1557,553,http://deep.sas.upenn.edu/553,286a,STC / 721:08,A07217,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002414112,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164438,164438,161-A07217,1610,Phase 1
FD,"Fatal Dowry, The",The Fatal Dowry,Tragedies,Nathan Field (Uncertain: No)| Philip Massinger (Uncertain: No)|,P. M. and N. F.,,,THE FATALL DOVVRY: A TRAGEDY.,,,John Norton 2 (Uncertain: No)|,Francis Constable (Uncertain: No)|,,"LONDON, Printed by IOHN NORTON, for FRANCIS CONSTABLE, and are to be sold at his shop at the Crane, in Pauls Church-yard. 1632.",,,,,,London,No,1632,Yes,1619,[1617–1619],King's Men,King's Men,Adult Company,Blackfriars,"As it hath beene often Acted at the Priuate House in Blackefryers, by his Maiesties Seruants.",,,quarto,No,,"CHARACTER LIST: Personae [A1v] OTHER PARATEXTS: Four songs: ""First Song""; ""Second Song. A Dialogue""; ""Cittizens Song of the Courtier""; ""Courtiers Song of the Citizen"" [A2r]",STC 17646,S112432,http://estc.bl.uk/S112432,,794,http://deep.sas.upenn.edu/794,464a,STC / 1074:17,A07251,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002417004,Boston Public Library G.3974.17 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164443,164443,161-A07251,1632,Phase 1
Cheap,Chaste Maid in Cheapside,A Chaste Maid in Cheapside,Comedies,Thomas Middleton (Uncertain: No)|,THOMAS MIDELTON Gent.,,,A CHAST MAYD JN CHEAPE-SIDE. A Pleasnt conceited Comedy,,,,Francis Constable (Uncertain: No)|,,"LONDON, Printed for Francis Constable dwelling at the signe of the Crane in Pauls Church-yard. 1630.",,,neuer before printed.,,,London,No,1630,No,1613,1613,Lady Elizabeth's Men,Lady Elizabeth's Men,Adult Company,Swan,"As it hath beene often acted at the Swan on the Banke-side, by the Lady ELIZABETH her Seruants.",,,quarto,No,,"CHARACTER LIST: ""The Names of the principall Persons"" [A2v]",STC 17877,S121839,http://estc.bl.uk/S121839,1715,753,http://deep.sas.upenn.edu/753,433a,STC / 966:16,A07493,Huntington,http://catalog.huntington.org/record=b1504975,Boston Public Library G.3974.42 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=169148,169148,161-A07493,1630,Phase 1
FQ,"Fair Quarrel, A",A Fair Quarrel,Tragicomedies,Thomas Middleton (Uncertain: No)| William Rowley (Uncertain: No)|,"Thomas Midleton, and William Rowley, Gent.",,,"A Faire Quarrell. With new Additions of Mr. Chaughs and Trimtrams Roaring, and the Bauds Song. Neuer before Printed.",,,George Eld (Uncertain: No)|,John Trundle (Uncertain: No)|,Edward Wright (Uncertain: No)|,Printed at London for I. T. and are to bee sold at Christ Church Gate. 1617.,,,,,,London,No,1617,Yes,1616,[c.1615–1617],Prince Charles's Men (first),Prince Charles's Men (first),Adult Company,,"As it was Acted before the King, bv the Prince his Highnesse Seruants.",,,quarto,No,,"DEDICATION: ""The Epistle"" to: Robert Grey (Groom of bedchamber to King Charles I); from: William Rowley [A2r]",STC 17911a,S2820,http://estc.bl.uk/S2820,1798,651,http://deep.sas.upenn.edu/651,352a(ii),STC / 1857:01,A07528,Harvard,http://id.lib.harvard.edu/aleph/009626145/catalog,,,,,161-A07528,1617,Phase 1
NWWNV,"New Wonder, A Woman Never Vexed","A New Wonder, A Woman Never Vexed",Comedies,William Rowley (Uncertain: No)|,"VVilliam Rowley, one of his Maiesties Servants",,,"A NEVV VVONDER, A WOMAN NEVER VEXT. A PLEASANT CONCEITED Comedy:",,,George Purslowe (Uncertain: No)|,Francis Constable (Uncertain: No)|,,"LONDON, Imprinted by G. P. for Francis Constable, and are to be sold at his shop at the signe of the Crane in Saint Pauls Churchyard. 1632.",,,never before printed.,,,London,No,1632,Yes,1611,[1611–1614],Unknown,,Adult Company,,sundry times Acted:,,,quarto,No,,,STC 21423,S116272,http://estc.bl.uk/S116272,,789,http://deep.sas.upenn.edu/789,460a,STC / 936:09,A11153,Huntington,http://catalog.huntington.org/record=b1507232,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166395,166395,161-A11153,1632,Phase 1
ALbL,All's Lost by Lust,All's Lost by Lust,Tragedies,William Rowley (Uncertain: No)|,William Rowley.,,,A TRAGEDY CALLED ALL'S LOST BY LVST.,,,Thomas Harper (Uncertain: No)|,,,"LONDON: Printed by THOMAS HARPER, 1633.",,,,,,London,No,1633,Yes,1619,[c.1619–1620?],Prince Charles's Men (first),Lady Elizabeth's Men|Queen Henrietta Maria's Men,Adult Company,Phoenix,"Divers times Acted by the Lady Elizabeths SERVANTS. And now lately by her Maiesties Servants, with great applause, at the Phœnix in Drury Lane.",,,quarto,No,,"ARGUMENT: ""The Argument"" [A2r] CHARACTER LIST: ""Dramatis Personæ"" [A1v]",STC 21425,S116285,http://estc.bl.uk/S116285,,807,http://deep.sas.upenn.edu/807,471a,STC / 1152:24,A11155,Yale,http://hdl.handle.net/10079/bibid/1191015,Boston Public Library G.3975.49 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166402,166402,161-A11155,1633,Phase 1
AT,"Atheist's Tragedy, The, or The Honest Man's Revenge","The Atheist's Tragedy, or The Honest Man's Revenge",Tragedies,Cyril Tourneur (Uncertain: No)|,Cyril Tourneur.,,,THE ATHEIST'S TRAGEDIE: OR The honest Man's Reuenge.,,,Thomas Snodham (Uncertain: No)|,John Stepneth (Uncertain: No)| Richard Redmer (Uncertain: No)|,,"AT LONDON, Printed for Iohn Stepneth, and Richard Redmer, and are to be sold at their Shops at the West end of Paules. 1611.",,,,,,London,No,1611,Yes,1611,[1607–1611],King's Men,,Adult Company,,As in diuers places it hath often beene Acted.,,,quarto,No,,"CHARACTER LIST: ""The names and qualities of the Actors"" [A1v]",STC 24146,S118504,http://estc.bl.uk/S118504,1625,565,http://deep.sas.upenn.edu/565,293a(*),STC / 942:03,A13840,Folger,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=167562,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=167562,167562,161-A13840,1611,Phase 1
DLC,Devil's Law Case (When Women Go to Law the Devil Is Full of Business),The Devil's Law Case (When Women Go to Law the Devil Is Full of Business),Tragicomedies,John Webster (Uncertain: No)|,IOHN WEBSTER.,,,"The Deuils Law-case. OR, When Women goe to Law, the Deuill is full of Businesse. A new Tragecomœdy.",,,Augustine Mathewes (Uncertain: No)|,John Grismand 1 (Uncertain: No)|,,"The true and perfect Copie from the Originall. ... LONDON, Printed by A. M. for Iohn Grismand, and are to be sold at his Shop in Pauls Alley at the Signe of the Gunne. 1623.",,,,,,London,No,1623,Yes,1619,[1617–1621],Queen Anne's Men,Queen Anne's Men,Adult Company,,As it was aproouedly well Acted by her Maiesties Seruants.,,,quarto,No,,"DEDICATION: Epistle to: Thomas Finch (2nd Earl of Winchilsea); from: John Webster [A2r] TO THE READER: ""To the Iuditious Reader"" [A2v] CHARACTER LIST: ""The Actors Names"" [A1v]",STC 25173,S119585,http://estc.bl.uk/S119585,,713,http://deep.sas.upenn.edu/713,388a,STC / 944:17,A14869,NYPL,,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=168081,168081,161-A14869,1623,Phase 1
Malfi,Duchess of Malfi,The Duchess of Malfi,Tragedies,John Webster (Uncertain: No)|,John Webster,,,THE TRAGEDY OF THE DVTCHESSE Of Malfy,,,Nicholas Okes (Uncertain: No)|,John Waterson (Uncertain: No)|,,"LONDON: Printed by NICHOLAS OKES, for IOHN WATERSON, and are to be sold at the signe of the Crowne, in Paules Church-yard, 1623.",,,"The perfect and exact Coppy, with diuerse things Printed, that the length of the Play would not beare in the Presentment.",,,London,No,1623,Yes,1614,[1612–1614],King's Men,King's Men,Adult Company,Blackfriars|Globe,"As it was Presented priuatly, at the Black-Friers; and publiquely at the Globe, By the Kings Maiesties Seruants.",,,quarto,No,,"DEDICATION: ""The Epistle"" to: George Berkeley, 8th Baron Berkeley; from: John Webster [A3r] COMMENDATORY VERSES: 3: by ""Thomas Middletonus""; ""Wil: Rowley""; ""Iohn Ford"" [A4r] CHARACTER LIST: ""The Actors Names"" [A2v] ACTOR LIST: part of ""The Actors Names"" [A2v]",STC 25176,S119591,http://estc.bl.uk/S119591,1726,714,http://deep.sas.upenn.edu/714,389a,STC / 944:18,A14872,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=003873812,,,,,161-A14872,1623,Phase 1
RoBDA,"Revenge of Bussy D'Ambois, The",The Revenge of Bussy D'Ambois,Tragedies,George Chapman (Uncertain: No)|,"GEORGE CHAPMAN, Gentleman.",,,THE REVENGE OF Bussy D'Ambois. A TRAGEDIE.,,,Thomas Snodham (Uncertain: No)|,,John Helme (Uncertain: No)|,"LONDON: Printed by T. S. and are to be solde by IOHN HELME, at his Shop in S. Dunstones Church-yard, in Fleetstreet. 1613.",,,,,,London,No,1613,Yes,1610,[c.1610–1611],Children of the Queen's Revels,,Boy Company,Whitefriars,As it hath beene often presented at the priuate Play-house in the White-Fryers.,,,quarto,No,,"DEDICATION: ""The Epistle Dedicatorie"" to: Thomas Howard (1st Earl of Berkshire); from: George Chapman [A3r] CHARACTER LIST: ""The Actors names"" [A4v]",STC 4989,S122391,http://estc.bl.uk/S122391,1612,585,http://deep.sas.upenn.edu/585,307a,STC / 952:09,A18421,Huntington,http://catalog.huntington.org/record=b1505417,Boston Public Library G.3967.36 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=169456,169456,161-A18421,1613,Phase 1
MML,Match Me in London,Match Me in London,Tragicomedies,Thomas Dekker (Uncertain: No)|,THO: DEKKER.,,,"A TRAGI-COMEDY: Called, Match mee in LONDON.",,,Bernard Alsop (Uncertain: No)| Thomas Fawcet (Uncertain: No)|,Henry Seile (Uncertain: No)|,,"LONDON. Printed by B. ALSOP and T. FAWCET, for H. SEILE, at the Tygers-head in St. Pauls Church-yard. 1631.",,,,,,London,No,1631,No,1611,1611,Queen Anne's Men,,Adult Company,Red Bull|Phoenix,"As it hath beene often Presented; First, at the Bull in St. IOHNS-street; And lately, at the Priuate-House in DRVRY-Lane, called the PHŒNIX",,,quarto,No,,"DEDICATION: ""The Epistle Dedicatorie"" to: Lodowick Carlell (courtier and playwright); from: Thomas Dekker [A2r] CHARACTER LIST: ""Drammatis Personae"" [A1v]",STC 6529,S105283,http://estc.bl.uk/S105283,,764,http://deep.sas.upenn.edu/764,440a,STC / 881:12,A20088,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=000896044,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=160823,160823,161-A20088,1631,Phase 1
